name;nationality;team;stats;event
ZywOo;France;Vitality;10;BLAST.tv Paris Major 2023
ZywOo;France;Vitality;277;BLAST.tv Paris Major 2023
ZywOo;France;Vitality;+92;BLAST.tv Paris Major 2023
ZywOo;France;Vitality;1.60;BLAST.tv Paris Major 2023
ZywOo;France;Vitality;1.39;BLAST.tv Paris Major 2023
s1mple;Ukraine;Natus Vincere;8;BLAST.tv Paris Major 2023
s1mple;Ukraine;Natus Vincere;212;BLAST.tv Paris Major 2023
s1mple;Ukraine;Natus Vincere;+2;BLAST.tv Paris Major 2023
s1mple;Ukraine;Natus Vincere;1.01;BLAST.tv Paris Major 2023
s1mple;Ukraine;Natus Vincere;1.07;BLAST.tv Paris Major 2023
NiKo;Bosnia and Herzegovina;G2;7;BLAST.tv Paris Major 2023
NiKo;Bosnia and Herzegovina;G2;196;BLAST.tv Paris Major 2023
NiKo;Bosnia and Herzegovina;G2;+21;BLAST.tv Paris Major 2023
NiKo;Bosnia and Herzegovina;G2;1.17;BLAST.tv Paris Major 2023
NiKo;Bosnia and Herzegovina;G2;1.18;BLAST.tv Paris Major 2023
iM;Romania;GamerLegion;12;BLAST.tv Paris Major 2023
iM;Romania;GamerLegion;306;BLAST.tv Paris Major 2023
iM;Romania;GamerLegion;+68;BLAST.tv Paris Major 2023
iM;Romania;GamerLegion;1.34;BLAST.tv Paris Major 2023
iM;Romania;GamerLegion;1.35;BLAST.tv Paris Major 2023
